"Projeto","Data","Hora","Espécie","Amostra","Dist_toler","Dist_perco","Tempo","Alt_ini","Alt_final","Alt_max","Temperatura","Umidade","Obs","Coletor","Local","sex","lon","lat","velocidade"
"Desempenho locomotor de Ithomiini",2018-03-23,"10:43:00","Hypoleria lavinia",1,NA,1.39,3.58,0.57,NA,1.43,28.4,66,NA,"Karine e Kiwi","matinha",NA,NA,NA,0.39
"Desempenho locomotor de Ithomiini",2018-03-23,"10:50:00","Ithomia agnosia",2,NA,3.67,6.34,0.97,NA,1.24,29.7,70,NA,"Karine e Kiwi","matinha",NA,NA,NA,0.58
"Desempenho locomotor de Ithomiini",2018-03-23,"10:58:00","Hypoleria lavinia",3,NA,2.69,8.81,0.68,NA,1.1,29.9,61,"Macho","Karine e Kiwi","matinha",NA,NA,NA,0.31
"Desempenho locomotor de Ithomiini",2018-03-23,"11:00:00","Hypothyris ninonia",4,NA,4.2,9.26,1.56,0.53,1.56,30.1,72,NA,"Karine e Kiwi","matinha",NA,NA,NA,0.45
"Desempenho locomotor de Ithomiini",2018-03-23,"11:07:00","Hypoleria lavinia",5,NA,0.41,1.89,0.71,0.65,0.65,29.8,62,"Fêmea","Karine e Kiwi","matinha",NA,NA,NA,0.22
"Desempenho locomotor de Ithomiini",2018-03-23,"11:12:00","Mechanitis polymnia",6,NA,8.6,34.35,1.52,1.88,3.95,29.7,63,NA,"Karine e Kiwi","matinha",NA,NA,NA,0.25
"Desempenho locomotor de Ithomiini",2018-03-23,"11:16:00","Hypothyris euclea",7,NA,5.12,8.16,1.7,1.25,1.93,29.1,67,"Amarela","Karine e Kiwi","matinha",NA,NA,NA,0.63
"Desempenho locomotor de Ithomiini",2018-03-23,"11:28:00","Mcclungia cymo",8,NA,8.1,26.61,1.24,1.19,1.77,29.1,62,"Perdida, medidas máximas/ Asa 3","Karine e Kiwi","matinha",NA,NA,NA,0.3
"Desempenho locomotor de Ithomiini",2018-03-23,"11:46:00","Hypothyris euclea",9,NA,1.87,16.37,1.1,0.31,1.1,28.9,NA,"Marcada/ Vôo lento","Karine e Kiwi","matinha",NA,NA,NA,0.11
"Desempenho locomotor de Ithomiini",2018-03-23,"11:53:00","Mechanitis polymnia",10,NA,14.05,42.85,1.01,0.97,2.29,29.9,61,NA,"Karine e Kiwi","matinha",NA,NA,NA,0.33
"Desempenho locomotor de Ithomiini",2018-04-04,"13:58:00","Hypothyris ninonia",11,NA,3.55,5.38,3.62,4.32,4.62,28.3,68,NA,"Karine e Kiwi","matinha",NA,NA,NA,0.66
