Data;Observers;GID;Time;lon;lat;Azimuth
5/27/17;alguem;1;10:05;-39,63504;-9,19352;312
5/27/17;alguem;1;10:18;-39,6347;-9,19171;340
5/27/17;alguem;1;10:24;-39,63354;-9,19033;300
5/27/17;alguem;1;10:32;-39,63342;-9,18853;320
5/27/17;alguem;1;10:40;-39,63295;-9,18678;279
5/30/17;alguem;2;05:18;-39,63673;-9,19372;350
5/30/17;alguem;2;05:27;-39,63629;-9,192;250
5/30/17;alguem;2;05:35;-39,6357;-9,19025;230
5/30/17;alguem;2;05:48;-39,63524;-9,18849;220
5/30/17;alguem;3;06:50;-39,62812;-9,18657;161
5/30/17;alguem;3;06:58;-39,628865;-9,18829;130
5/30/17;alguem;3;07:03;-39,6288;-9,19009;120
5/30/17;alguem;3;07:07;-39,6292;-9,19186;100
5/30/17;alguem;3;07:13;-39,62916;-9,19369;70
5/30/17;alguem;4;08:35;-39,62916;-9,1943;340
5/30/17;alguem;4;08:43;-39,63614;-9,19253;250
5/30/17;alguem;4;08:48;-39,63638;-9,19074;230
5/30/17;alguem;4;08:54;-39,637;-9,18802;210
06/03/2017;alguem;5;09:59;-39,64004;-9,19372;70
06/03/2017;alguem;5;10:59;-39,64159;-9,1928;110
06/03/2017;alguem;5;10:07;-39,64141;-9,1928;130
06/05/2017;alguem;6;14:22;-39,64;-9,19375;65
06/05/2017;alguem;6;14:29;-39,64136;-9,19252;125
06/05/2017;alguem;6;14:37;-39,64057;-9,19091;165
06/05/2017;alguem;7;16:34;-39,63107;-9,18683;150
06/05/2017;alguem;7;16:40;-39,62922;-9,18686;250
06/07/2017;alguem;7;16:45;-39,62936;-9,18872;350
06/07/2017;alguem;8;06:59;-39,63851;-9,18999;85
06/07/2017;alguem;8;07:07;-39,63832;-9,18816;125
06/09/2017;alguem;8;07:12;-39,63971;-9,18728;190
06/09/2017;alguem;9;10:13;-39,63982;-9,1941;45
06/09/2017;alguem;9;10:18;-39,64089;-9,19267;115
06/09/2017;alguem;9;10:24;-39,64042;-9,19095;175
06/09/2017;alguem;10;12:24;-39,63916;-9,1923;140
06/09/2017;alguem;10;12:28;-39,63741;-9,19184;210
06/09/2017;alguem;10;12:36;-39,63625;-9,19321;315
6/13/17;alguem;11;14:23;-39,64008;-9,19357;285
6/13/17;alguem;11;14:29;-39,64105;-9,19465;270
6/13/17;alguem;11;14:35;-39,644231;-9,19628;325
6/13/17;alguem;11;14:42;-39,64301;-9,19795;360
6/13/17;alguem;12;16:51;-39,63968;-9,19416;50
6/13/17;alguem;12;16:54;-39,64096;-9,19287;110
6/13/17;alguem;12;16:59;-39,64037;-9,19116;170
6/15/17;alguem;12;16:45;-39,64409;-9,19696;15
6/15/17;alguem;13;07:13;-39,64474;-9,19366;330
6/15/17;alguem;13;07:19;-39,64658;-9,19368;60
6/15/17;alguem;13;07:24;-39,64843;-9,19385;80
6/15/17;alguem;14;08:15;-39,64091;-9,19273;105
6/15/17;alguem;14;08:23;-39,64069;-9,19095;185
6/15/17;alguem;14;08:34;-39,64905;-9,19014;250
6/17/17;alguem;15;09:38;-39,63973;-9,19399;40
6/17/17;alguem;15;09:42;-39,64112;-9,19284;105
6/17/17;alguem;15;09:48;-39,64093;-9,19105;175
6/17/17;alguem;16;11:54;-39,64075;-9,19167;140
6/17/17;alguem;16;11:59;-39,63898;-9,19118;210
6/17/17;alguem;16;12:08;-39,63718;-9,19159;270
6/19/17;alguem;17;15:49;-39,64594;-9,1952;200
6/19/17;alguem;17;15:54;-39,6441;-9,19543;260
6/19/17;alguem;17;15:58;-39,64341;-9,19714;320
6/19/17;alguem;18;16:50;-39,6399;-9,19389;60
6/19/17;alguem;18;16:55;-39,64111;-9,19254;115
6/19/17;alguem;18;16:59;-39,64177;-9,19085;165
6/21/17;alguem;19;07:12;-39,6453;-9,19458;185
6/21/17;alguem;19;07:16;-39,64348;-9,19478;250
6/21/17;alguem;19;07:20;-39,64251;-9,19631;320
6/21/17;alguem;20;08:26;-39,63986;-9,19399;50
6/21/17;alguem;20;08:30;-39,6411;-9,19263;95
6/21/17;alguem;20;08:35;-39,64159;-9,19089;165
6/23/17;alguem;21;09:50;-39,63976;-9,19422;40
6/23/17;alguem;21;09:55;-39,64108;-9,19298;105
6/23/17;alguem;21;10:00;-39,64126;-9,19114;160
6/23/17;alguem;22;11:19;-39,64154;-9,19114;155
6/23/17;alguem;22;11:27;-39,63974;-9,19047;180
6/23/17;alguem;22;11:35;-39,63886;-9,18887;200
6/23/17;alguem;22;11:42;-39,63751;-9,18764;220
6/23/17;alguem;23;13:06;-39,63733;-9,19087;240
6/23/17;alguem;23;13:11;-39,63692;-9,19267;310
6/23/17;alguem;23;13:15;-39,63878;-9,19288;50
6/27/17;alguem;24;15:04;-39,64477;-9,19368;170
6/27/17;alguem;24;15:07;-39,64296;-9,19343;230
6/27/17;alguem;24;15:12;-39,64125;-9,1941;280
6/27/17;alguem;25;15:44;-39,63966;-9,19419;35
6/27/17;alguem;25;15:48;-39,64085;-9,19283;110
6/27/17;alguem;25;15:54;-39,64049;-9,19109;165
6/27/17;alguem;25;16:02;-39,64025;-9,19094;75
6/27/17;alguem;25;16:08;-39,64056;-9,18914;150
6/27/17;alguem;25;16:14;-39,64054;-9,1873;195
6/27/17;alguem;26;16:58;-39,63675;-9,1891;225
6/27/17;alguem;26;17:04;-39,63638;-9,19087;300
6/27/17;alguem;26;17:09;-39,63612;-9,19267;345
6/27/17;alguem;26;17:14;-39,63654;-9,19443;15
6/29/17;alguem;27;07:46;-39,63916;-9,19098;160
6/29/17;alguem;27;07:51;-39,63733;-9,19114;260
6/29/17;alguem;27;07:58;-39,19289;-9,19289;330
6/29/17;alguem;28;08:33;-39,63634;-9,19363;350
6/29/17;alguem;28;08:38;-39,63876;-9,19303;45
6/29/17;alguem;28;08:43;-39,64036;-9,19223;100
07/01/2017;alguem;29;09:55;-39,63984;-9,19409;40
07/01/2017;alguem;29;10:00;-39,64113;-9,19281;115
07/01/2017;alguem;29;10:05;-39,64037;-9,19116;190
07/01/2017;alguem;30;12:35;-39,64055;-9,192111;110
07/01/2017;alguem;30;12:40;-39,63912;-9,19099;180
07/01/2017;alguem;30;12:46;-39,63912;-9,199008;255
07/08/2017;alguem;31;07:07;-39,63981;-9,19358;30
07/08/2017;alguem;31;07:14;-39,64135;-9,19268;105
07/08/2017;alguem;31;07:19;-39,64092;-9,1909;200
07/08/2017;alguem;32;08:10;-39,664092;-9,1919115;200
07/08/2017;alguem;32;08:16;-39,63987;-9,19115;130
07/08/2017;alguem;32;08:26;-39,63825;-9,19031;205
07/08/2017;alguem;33;10:37;-39,63638;-9,19028;280
07/10/2017;alguem;33;10:42;-39,63702;-9,19924;260
07/10/2017;alguem;33;10:47;-39,6369;-9,20107;345
07/10/2017;alguem;34;11:58;-39,63862;-9,2018;35
07/10/2017;alguem;34;12:03;-39,63978;-9,19409;45
07/10/2017;alguem;34;12:07;-39,64101;-9,19272;115
7/14/17;alguem;35;08:33;-39,63438;-9,20068;285
7/14/17;alguem;35;08:38;-39,63517;-9,20232;360
7/14/17;alguem;35;08:50;-39,63702;-9,2023;50
